S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,213382.3722442
79074,2016,5,1,Argentina,217939.479092458
79075,2016,6,1,Argentina,217939.479092458
79076,2016,7,1,Argentina,216560.715023374
79077,2016,8,1,Argentina,217498.93345682
79078,2016,9,1,Argentina,218498.96672773
79079,2016,10,1,Argentina,217099.181745475
79080,2016,11,1,Argentina,209980.297741707
79081,2016,12,1,Argentina,233846.015789078
79082,2017,1,1,Argentina,218834.83478965
79083,2017,2,1,Argentina,207997.370395205
79084,2017,3,1,Argentina,207800.375857188
79085,2016,4,2,Argentina,73967.0620563007
79086,2016,5,2,Argentina,78524.1689045596
79087,2016,6,2,Argentina,78524.1689045596
79088,2016,7,2,Argentina,77145.4048354757
79089,2016,8,2,Argentina,78083.6232689216
79090,2016,9,2,Argentina,79083.6565398312
79091,2016,10,2,Argentina,77683.8715575767
79092,2016,11,2,Argentina,70868.8591470047
79093,2016,12,2,Argentina,94734.5771943759
79094,2017,1,2,Argentina,79419.5246017513
79095,2017,2,2,Argentina,68582.0602073062
79096,2017,3,2,Argentina,68385.0656692887
79097,2017,1,3,Argentina,237287.5717621
79098,2017,2,3,Argentina,226450.107367655
79099,2017,3,3,Argentina,226253.112829637
79100,2016,4,2,Belgium,9457.638019668
79101,2016,5,2,Belgium,12271.2120277351
79102,2016,6,2,Belgium,12271.2120277351
79103,2016,7,2,Belgium,10892.4479586512
79104,2016,8,2,Belgium,11830.6663920971
79105,2016,9,2,Belgium,12830.6996630067
79106,2016,10,2,Belgium,11430.9146807522
79107,2016,11,2,Belgium,13488.2639820847
79108,2016,12,2,Belgium,23690.207840082
79109,2017,1,2,Belgium,13327.6427741342
79110,2017,2,2,Belgium,11690.0170403554
79111,2017,3,2,Belgium,11493.0225023379
79112,2016,4,1,Columbia,7425.1518179441
79113,2016,5,1,Columbia,10009.7908649537
79114,2016,6,1,Columbia,10009.7908649537
79115,2016,7,1,Columbia,8631.0267958699
79116,2016,8,1,Columbia,9569.2452293158
79117,2016,9,1,Columbia,10569.2785002254
79118,2016,10,1,Columbia,9169.4935179709
79119,2016,11,1,Columbia,10276.277785734
79120,2016,12,1,Columbia,13396.2997214752
79121,2017,1,1,Columbia,10359.6130771933
79122,2017,2,1,Columbia,8721.9873434145
79123,2017,3,1,Columbia,8524.992805397
79124,2016,4,2,Columbia,5632.0774702302
79125,2016,5,2,Columbia,8445.6514782973
79126,2016,6,2,Columbia,8445.6514782973
79127,2016,7,2,Columbia,7066.8874092135
79128,2016,8,2,Columbia,8005.1058426593
79129,2016,9,2,Columbia,9005.1391135689
79130,2016,10,2,Columbia,7605.3541313145
79131,2016,11,2,Columbia,10643.7390129642
79132,2016,12,2,Columbia,13763.7609487054
79133,2017,1,2,Columbia,9502.0822246965
79134,2017,2,2,Columbia,7864.4564909176
79135,2017,3,2,Columbia,7667.4619529001
79136,2017,1,3,Columbia,10406.8797045375
79137,2017,2,3,Columbia,8769.2539707587
79138,2017,3,3,Columbia,8572.2594327412
79139,2016,4,2,Denmark,397991.226050563
79140,2016,5,2,Denmark,411852.619367409
79141,2016,6,2,Denmark,411852.619367409
79142,2016,7,2,Denmark,410473.855298325
79143,2016,8,2,Denmark,418837.191263838
79144,2016,9,2,Denmark,419837.224534748
79145,2016,10,2,Denmark,418437.439552493
79146,2016,11,2,Denmark,444839.692879238
79147,2016,12,2,Denmark,450650.984868321
79148,2017,1,2,Denmark,352069.934595818
79149,2017,2,2,Denmark,404498.137947058
79150,2017,3,2,Denmark,404301.14340904
79151,2015,11,5,England,27840.1206121668
79152,2015,12,5,England,35716.8239294245
79153,2016,1,5,England,-16471.3805954688
79154,2016,2,5,England,36214.9883752233
79155,2016,3,5,England,35646.7515551173
79156,2016,4,5,England,31860.1204494443
79157,2016,5,5,England,35637.9892600498
79158,2016,6,5,England,35637.9892600498
79159,2016,7,5,England,34752.2457318883
79160,2015,11,4,England,32805.7016368635
79161,2015,12,4,England,38616.9936259469
79162,2016,1,4,England,-13232.6379269633
79163,2016,2,4,England,39453.7310437288
79164,2016,3,4,England,38885.4942236228
79165,2016,4,4,England,35098.8631179498
79166,2016,5,4,England,38876.7319285553
79167,2016,6,4,England,38876.7319285553
79168,2016,7,4,England,37990.9884003938
79169,2015,11,4,Finland,138924.511487646
79170,2015,12,4,Finland,144735.803476729
79171,2016,1,4,Finland,112802.255383335
79172,2016,2,4,Finland,169514.315002116
79173,2016,3,4,Finland,158033.12070979
79174,2016,4,4,Finland,154246.489604117
79175,2016,5,4,Finland,147284.67636768
79176,2016,6,4,Finland,147284.67636768
79177,2016,7,4,Finland,146398.932839518
