,Date,Sales
10370,2013-1,3296.86
10371,2013-1,1648.43
10372,2013-1,1648.43
10373,2013-1,9890.58
10374,2013-1,13187.44
10375,2013-1,1648.43
10376,2013-1,4945.29
10377,2013-1,65937.2
10378,2013-1,16484.3
10379,2013-1,3296.86
10380,2013-1,4945.29
10381,2013-1,1648.43
10382,2013-1,14835.87
10383,2013-1,9890.58
10384,2013-1,3296.86
10385,2013-1,6593.72
10386,2013-1,16484.3
10387,2013-1,4945.29
10388,2013-1,1648.43
10389,2013-1,6593.72
10390,2013-1,3296.86
10391,2013-1,1648.43
10392,2013-1,4945.29
10393,2013-1,1648.43
10394,2013-1,1648.43
10395,2013-1,26374.88
10396,2013-1,82421.5
10397,2013-2,19781.16
10398,2013-2,11539.01
10399,2013-2,1648.43
10400,2013-2,16484.3
10401,2013-2,3296.86
10402,2013-2,6593.72
10403,2013-2,3296.86
10404,2013-2,4945.29
10405,2013-2,13187.44
10406,2013-2,23078.02
10407,2013-2,16484.3
10408,2013-2,4945.29
10409,2013-2,3296.86
10410,2013-2,1648.43
10411,2013-2,1648.43
10412,2013-2,13187.44
10413,2013-2,52749.76
10414,2013-2,1648.43
10415,2013-2,4945.29
10416,2013-2,93960.51
10417,2013-2,13187.44
10418,2013-2,13187.44
10419,2013-2,1648.43
10420,2013-2,1648.43
10421,2013-2,1648.43
10422,2013-2,3296.86
10423,2013-2,11539.01
10424,2013-2,1648.43
10425,2013-2,3296.86
10426,2013-2,4945.29
10427,2013-2,4945.29
10428,2013-2,65937.2
10429,2013-2,6593.72
10430,2013-2,1648.43
10431,2013-2,1648.43
10432,2013-3,24726.45
10433,2013-3,3296.86
10434,2013-3,1648.43
10435,2013-3,16484.3
10436,2013-3,6593.72
10437,2013-3,13187.44
10438,2013-3,8242.15
10439,2013-3,1648.43
10440,2013-3,1648.43
10441,2013-3,6593.72
10442,2013-3,1648.43
10443,2013-3,6593.72
10444,2013-3,3296.86
10445,2013-3,4945.29
10446,2013-3,80773.07
10447,2013-3,8242.15
10448,2013-3,1648.43
10449,2013-3,4945.29
10450,2013-3,1648.43
10451,2013-3,6593.72
10452,2013-3,3296.86
10453,2013-3,13187.44
10454,2013-3,4945.29
10455,2013-3,1648.43
10456,2013-3,8242.15
10457,2013-3,13187.44
10458,2013-3,13187.44
10459,2013-3,6593.72
10460,2013-4,1648.43
10461,2013-4,6593.72
10462,2013-4,3296.86
10463,2013-4,19781.16
10464,2013-4,3296.86
10465,2013-4,6593.72
10466,2013-4,16484.3
10467,2013-4,3296.86
10468,2013-4,4945.29
10469,2013-4,90663.65
10470,2013-4,4945.29
10471,2013-4,1648.43
10472,2013-4,3296.86
10473,2013-4,13187.44
10474,2013-4,4945.29
10475,2013-4,13187.44
10476,2013-4,65937.2
10477,2013-4,1648.43
10478,2013-4,6593.72
10479,2013-4,3296.86
10480,2013-4,1648.43
10481,2013-4,1648.43
10482,2013-4,8242.15
10483,2013-4,8242.15
10484,2013-4,6593.72
10485,2013-4,3296.86
10486,2013-4,6593.72
10487,2013-4,1648.43
10488,2013-4,6593.72
10489,2013-4,13187.44
10490,2013-4,24726.45
10491,2013-4,3296.86
10492,2013-4,3296.86
10493,2013-4,1648.43
10494,2013-4,1648.43
10495,2013-4,14835.87
10496,2013-4,13187.44
10497,2013-4,65937.2
10498,2013-5,13187.44
10499,2013-5,13187.44
10500,2013-5,3296.86
10501,2013-5,3296.86
10502,2013-5,1648.43
10503,2013-5,1648.43
10504,2013-5,6593.72
10505,2013-5,6593.72
10506,2013-5,3296.86
10507,2013-5,4945.29
10508,2013-5,8242.15
10509,2013-5,3296.86
10510,2013-5,3296.86
10511,2013-5,85718.36
10512,2013-5,1648.43
10513,2013-5,1648.43
10514,2013-5,1648.43
10515,2013-5,28023.31
10516,2013-5,13187.44
10517,2013-5,65937.2
10518,2013-5,1648.43
10519,2013-5,1648.43
10520,2013-5,6593.72
10521,2013-5,1648.43
10522,2013-5,6593.72
10523,2013-5,4945.29
10524,2013-5,9890.58
10525,2013-5,9890.58
10526,2013-5,1648.43
10527,2013-5,6593.72
10528,2013-5,4945.29
10529,2013-5,13187.44
10530,2013-5,3296.86
10531,2013-5,1648.43
10532,2013-5,13187.44
10533,2013-5,6593.72
10534,2013-5,1648.43
10535,2013-5,4945.29
10536,2013-5,1648.43
10537,2013-5,3296.86
10538,2013-5,1648.43
10539,2013-5,1648.43
10540,2013-5,3296.86
10541,2013-5,74179.35
10542,2013-5,4945.29
10543,2013-5,1648.43
10544,2013-5,1648.43
10545,2013-6,6593.72
10546,2013-6,1648.43
10547,2013-6,13187.44
10548,2013-6,1648.43
10549,2013-6,3296.86
10550,2013-6,6593.72
10551,2013-6,9890.58
10552,2013-6,3296.86
10553,2013-6,13187.44
10554,2013-6,6593.72
10555,2013-6,6593.72
10556,2013-6,3296.86
10557,2013-6,4945.29
10558,2013-6,4945.29
10559,2013-6,3296.86
10560,2013-6,1648.43
10561,2013-6,32968.6
10562,2013-6,8242.15
10563,2013-6,1648.43
10564,2013-6,1648.43
10565,2013-6,3296.86
10566,2013-6,9890.58
10567,2013-6,4945.29
10568,2013-6,3296.86
10569,2013-6,13187.44
10570,2013-6,1648.43
10571,2013-6,1648.43
10572,2013-6,16484.3
10573,2013-6,3296.86
10574,2013-6,3296.86
10575,2013-6,176382.01
10576,2013-6,1648.43
10577,2013-6,1648.43
10578,2013-6,1648.43
10579,2013-6,1648.43
10580,2013-6,3296.86
10581,2013-6,4945.29
10582,2013-6,1648.43
10583,2013-6,1648.43
10584,2013-6,6593.72
10585,2013-6,3296.86
10586,2013-6,3296.86
10587,2013-7,11539.01
10588,2013-7,6593.72
10589,2013-7,6593.72
10590,2013-7,14835.87
10591,2013-7,82421.5
10592,2013-7,1648.43
10593,2013-7,6593.72
10594,2013-7,4945.29
10595,2013-7,11539.01
10596,2013-7,3296.86
10597,2013-7,1648.43
10598,2013-7,3296.86
10599,2013-7,1648.43
10600,2013-7,9890.58
10601,2013-7,11539.01
10602,2013-7,14835.87
10603,2013-7,1648.43
10604,2013-7,13187.44
10605,2013-7,6593.72
10606,2013-7,6593.72
10607,2013-7,3296.86
10608,2013-7,1648.43
10609,2013-7,32968.6
10610,2013-7,4945.29
10611,2013-7,6593.72
10612,2013-7,4945.29
10613,2013-7,13187.44
10614,2013-7,82421.5
10615,2013-7,1648.43
10616,2013-7,6593.72
10617,2013-7,6593.72
10618,2013-7,9890.58
10619,2013-7,1648.43
10620,2013-7,11539.01
10621,2013-7,1648.43
10622,2013-7,3296.86
10623,2013-7,6593.72
10624,2013-7,1648.43
