S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,134071.875
79074,2016,5,1,Argentina,134071.875
79075,2016,6,1,Argentina,134071.875
79076,2016,7,1,Argentina,134071.875
79077,2016,8,1,Argentina,134071.875
79078,2016,9,1,Argentina,134071.875
79079,2016,10,1,Argentina,134071.875
79080,2016,11,1,Argentina,134071.875
79081,2016,12,1,Argentina,134071.875
79082,2017,1,1,Argentina,179761.280487805
79083,2017,2,1,Argentina,121891.304347826
79084,2017,3,1,Argentina,134071.875
79085,2016,4,2,Argentina,69688.8480373832
79086,2016,5,2,Argentina,69688.8480373832
79087,2016,6,2,Argentina,69688.8480373832
79088,2016,7,2,Argentina,69688.8480373832
79089,2016,8,2,Argentina,69688.8480373832
79090,2016,9,2,Argentina,69688.8480373832
79091,2016,10,2,Argentina,69688.8480373832
79092,2016,11,2,Argentina,80831.242886598
79093,2016,12,2,Argentina,88100.275890411
79094,2017,1,2,Argentina,77684.5278350515
79095,2017,2,2,Argentina,69041.4979245283
79096,2017,3,2,Argentina,69688.8480373832
79097,2017,1,3,Argentina,267313.846153846
79098,2017,2,3,Argentina,239423.161764706
79099,2017,3,3,Argentina,237696.802325581
79100,2016,4,2,Belgium,23351.83
79101,2016,5,2,Belgium,23351.83
79102,2016,6,2,Belgium,23558.8120833333
79103,2016,7,2,Belgium,20120.5426470588
79104,2016,8,2,Belgium,22058.9905454546
79105,2016,9,2,Belgium,14360.8986440678
79106,2016,10,2,Belgium,20990.0086666667
79107,2016,11,2,Belgium,19974.9410344828
79108,2016,12,2,Belgium,31325.8249056604
79109,2017,1,2,Belgium,19840.2906122449
79110,2017,2,2,Belgium,20514.3260377358
79111,2017,3,2,Belgium,23351.83
79112,2016,4,1,Columbia,7607.4476363636
79113,2016,5,1,Columbia,8248.6813348416
79114,2016,6,1,Columbia,9055.3517970402
79115,2016,7,1,Columbia,8772.2555913979
79116,2016,8,1,Columbia,8924.7252923977
79117,2016,9,1,Columbia,7990.811868932
79118,2016,10,1,Columbia,8824.1016268981
79119,2016,11,1,Columbia,8374.8965437788
79120,2016,12,1,Columbia,8093.0207482993
79121,2017,1,1,Columbia,8346.3113350126
79122,2017,2,1,Columbia,9204.5015012723
79123,2017,3,1,Columbia,7607.4476363636
79124,2016,4,2,Columbia,16710.7207207207
79125,2016,5,2,Columbia,16710.7207207207
79126,2016,6,2,Columbia,16710.7207207207
79127,2016,7,2,Columbia,16710.7207207207
79128,2016,8,2,Columbia,16710.7207207207
79129,2016,9,2,Columbia,16710.7207207207
79130,2016,10,2,Columbia,16710.7207207207
79131,2016,11,2,Columbia,16710.7207207207
79132,2016,12,2,Columbia,16710.7207207207
79133,2017,1,2,Columbia,16779.5348837209
79134,2017,2,2,Columbia,16104.5226130653
79135,2017,3,2,Columbia,16710.7207207207
79136,2017,1,3,Columbia,3169.0125
79137,2017,2,3,Columbia,2655.7302325581
79138,2017,3,3,Columbia,6375.0448630137
79139,2016,4,2,Denmark,412870.78613924
79140,2016,5,2,Denmark,412870.78613924
79141,2016,6,2,Denmark,412374.726225596
79142,2016,7,2,Denmark,307050.176385542
79143,2016,8,2,Denmark,420345.958399015
79144,2016,9,2,Denmark,398160.207078652
79145,2016,10,2,Denmark,395662.291532847
79146,2016,11,2,Denmark,436636.972875318
79147,2016,12,2,Denmark,433755.738562092
79148,2017,1,2,Denmark,341998.059485095
79149,2017,2,2,Denmark,414749.315388235
79150,2017,3,2,Denmark,412870.78613924
79151,2015,11,5,England,6441.1033944954
79152,2015,12,5,England,6950.7508910891
79153,2016,1,5,England,6014.6464423077
79154,2016,2,5,England,5846.035505618
79155,2016,3,5,England,5504.3972649573
79156,2016,4,5,England,6201.8083185841
79157,2016,5,5,England,5562.9483168317
79158,2016,6,5,England,5701.8900900901
79159,2016,7,5,England,6770.1795535714
79160,2015,11,4,England,2870.1586666667
79161,2015,12,4,England,3228.5893220339
79162,2016,1,4,England,3365.5344827586
79163,2016,2,4,England,2329.908
79164,2016,3,4,England,2682.10734375
79165,2016,4,4,England,3033.8931034483
79166,2016,5,4,England,2709.6087037037
79167,2016,6,4,England,2857.7025423729
79168,2016,7,4,England,2780.3516438356
79169,2015,11,4,Finland,115810.410592593
79170,2015,12,4,Finland,134084.760622222
79171,2016,1,4,Finland,140854.921009174
79172,2016,2,4,Finland,236386.443490566
79173,2016,3,4,Finland,72359.38696
79174,2016,4,4,Finland,124767.943694779
79175,2016,5,4,Finland,116411.75052381
79176,2016,6,4,Finland,126212.554545455
79177,2016,7,4,Finland,103615.773663004
